Original Query,Analyzed Query
سفن ديز,"['.', 'سفن', 'ال+', 'ال+']"
سفن دايز,"['.', 'سفن', 'دايز', 'ال+']"
كيك سفن دايز,"['.', 'ال+', 'سفن', '[رابط]', '+ة']"
سفن اب دايت,"['.', 'سفن', 'اب', 'داي', '##ت', 'ال+']"
سفن اب مشروب,"['.', 'سفن', 'اب', '2004', '+ة']"
ا,"['+ه', '+ي', '+ي']"
كيس بطاطس,"['.', 'كيس', 'بطاطس', 'ال+']"
لقمة,"['.', 'زياد', '+ة', 'و+']"
فرشاة,"['.', 'فرشا', '+ة', 'و+']"
عصاي,"['.', 'عصا', '##ي', '.']"
سجاره,"['.', 'س', '##جار', '[رابط]', '+ة']"
كوب قهوه,"['.', 'كوب', 'قهو', '##ه', '+ة']"
مروحه,"['[رابط]', 'مروح', '##ه', 'ال+']"
بسكوت هش,"['.', 'بسكوت', 'هش', 'ال+']"
مراميه,"['.', 'داع', '+ه', '[رابط]']"
بطلط,"['.', '.', '.', '.']"
ضوء,"['[رابط]', '[رابط]', '+ة']"
جبن قليل,"['.', 'جبن', 'قليل', 'ال+']"
فحم شوي,"['.', 'فحم', 'شوي', '+ة']"
حليب طازج قليل,"['.', 'حليب', 'طازج', 'قليل', 'ال+']"
حليب قليل,"['.', 'حليب', 'قليل', 'ال+']"
حليب صغير,"['.', 'حليب', 'صغير', 'ال+']"
ماء صغير,"['.', 'ماء', 'صغير', 'ال+']"
زبادي قليل,"['.', 'بعد', 'قليل', 'ال+']"
زيادي,"['.', 'زياد', '+ة', '+ة']"
كمام,"['.', 'كاريكاتير', '+ة']"
شبي,"['.', '[رابط]', 'ال+']"
لهاية,"['.', 'ل', '##ها', 'ال+', 'ال+', 'و+']"
وعاء,"['.', '[رابط]', '+ة']"
باوند,"['رويترز', 'رويترز', 'ال+']"
شفرة حلاقه,"['.', 'شفر', '+ة', 'حلاق', '+ة', '+ة']"
شفره حلاقه,"['.', 'شفر', '##ه', 'حلاق', '##ه', '+ة']"
شفرة حلاقة,"['.', 'شفر', '+ة', 'حلاق', '##ة', '+ة']"
علاق,"['+ه', '+ه', '+ة']"
جلكسي ساده,"['.', 'جل', 'ال+', 'ساد', 'ال+', 'ال+']"
ذرة حب,"['.', 'ذر', '+ة', 'حب', 'و+']"
ذره حب,"['.', 'ذر', '##ه', 'حب', 'ال+']"
عصا,"['.', '[رابط]', 'ال+']"
اختبار,"['.', '[رابط]', 'ال+']"
الف بار,"['.', 'ال+', '##ف', 'بار', '+ت']"
كنزا,"['.', '[رابط]', '##ا', '+ة']"
سفر,"['[رابط]', '[رابط]', 'ال+']"
موجي,"['.', '[رابط]', 'ال+']"
دجاج الصفاء,"['.', 'دجاج', 'ال+', '##صف', '##اء', 'ال+']"
ورق a4,"['.', 'ورق', 'a', '##4', 'ال+']"
عباية,"['.', 'عباي', '+ة', '.']"
عبايه,"['[رابط]', '[رابط]', '##ه', 'ال+']"
شامبو عباية,"['[رابط]', '[رابط]', 'صلا', '+ة', '+ة']"
شامبو العباية,"['.', 'شامبو', 'ال+', '##عب', 'ال+', 'ال+', '##ة', 'و+']"
شامبو عبايه,"['.', '[رابط]', 'عربي', '##ه', '+ة']"
شامبو عبايات,"['.', '[UNK]', 'عباي', '+ات', '+ة']"
صابون عبايه,"['[رابط]', 'ال+', 'عربي', '##ه', '+ة']"
عبايات,"['.', 'إصدار', '+ات', 'ال+']"
مياه ابراج,"['.', 'مياه', 'تشرين', 'ال+']"
جبنة ابو الولد,"['.', 'جبن', '##ة', 'أبو', 'ال+', '##ولد', 'ال+']"
ابو كاس,"['.', '[رابط]', '[رابط]', 'ال+']"
رز ابو كاس,"['.', 'رز', 'أبو', 'كاس', 'ال+']"
ارز ابو كاس,"['.', 'إبراهيم', 'أبو', 'كاس', 'ال+']"
ابو نجوم,"['[رابط]', 'ال+', 'نجوم', 'ال+']"
ابوقوس,"['.', 'ابا', '+ه', '+ه']"
abu siouf,"['[UNK]', 'a', 'sa', '##u', 'si', '##ou', '.', '+ة']"
حليب ابو,"['.', 'حليب', 'و+', 'ال+']"
تاكيد,"['.', '[رابط]', '+ت']"
طبق,"['.', '[رابط]', 'ال+']"
رصيد,"['[رابط]', '[رابط]', 'ال+']"
استون,"['[رابط]', '[رابط]', 'ال+', '+ت']"
اسيتون,"['.', '[رابط]', '##ت', '##ون', 'ال+']"
حموضه,"['.', '[رابط]', '##ه', 'ال+']"
اكتيف,"['.', '[رابط]', 'عن', '+ة']"
أكتيفيا,"['.', 'أكتيف', '##ي', '##ا', '.']"
اكتيفيا,"['.', 'اكت', '##يف', '##ي', '##ا', '+ة']"
لبن اكتيفيا,"['.', '[UNK]', 'اكت', '##يف', '##ي', '+ا', '.']"
زبادي اكتيفيا,"['.', '[UNK]', 'اكت', '##يف', '##ي', '+ا', ':']"
مياه عذاري,"['.', 'مياه', 'تشرين', '+ة']"
لاصق,"['.', 'كاريكاتير', '.']"
لاصقه,"['[رابط]', 'كاريكاتير', '##ه', 'كاريكاتير']"
لاصقة,"['.', 'لاصق', '##ة', '.']"
شريط لاصق,"['.', 'شريط', 'لاصق', '+ة']"
لاصقات,"['.', 'ملاحظ', '+ات', 'ال+']"
سمون,"['.', 'سمو', 'ال+', 'و+']"
أدول,"['.', 'أدو', '##ل', '.']"
ادول,"['.', 'اكر', '##ل', '+ين']"
ادول شراب,"['.', 'ادو', '##ل', 'شراب', '+ه']"
حفاضات للكبار,"['.', 'حفاض', '##ات', 'ل+', 'ال+', '##بار', 'و+']"
حفاضات كبار,"['.', 'مقال', '+ات', 'كبار', '+ة']"
مزايا,"['[رابط]', '[رابط]', 'ال+']"
ادفيل,"['.', 'ادف', '##ي', '##ل', 'جون']"
جوي,"['[رابط]', 'جوي', '+ه']"
ايريوس,"['.', 'اير', 'رويترز', '+ة']"
ايرو,"['+ه', '+ه', '+ه']"
عافيه,"['.', '[رابط]', '##ه', '+ة']"
اغاتي,"['.', 'آغا', '##ت', '##ي', '+ه']"
عجوه,"['.', '[رابط]', '##ه', '+ة']"
احمد,"['[رابط]', '[رابط]', 'ال+']"
شاي أحمد,"['.', 'عماد', 'أحمد', 'ال+']"
علج,"['.', '[رابط]', 'ال+']"
اير بار,"['.', 'ال+', 'بار', 'ال+']"
اير بار نكهة,"['.', 'ال+', 'بار', '##و', 'ال+', 'ال+']"
اير بار عنب,"['.', 'ال+', 'بار', 'عن', '##ب', 'ال+']"
