Original Query,Analyzed Query
سفن ديز,سفن ديز
سفن دايز,سفن دايز
كيك سفن دايز,كيك سفن دايز
سفن اب دايت,سفن اب دايت
سفن اب مشروب,سفن اب مشروب
ا,
كيس بطاطس,كيس بطاطس
لقمة,لقم
فرشاة,فرشا
عصاي,عصا
سجاره,سجار
كوب قهوه,كوب قهو
مروحه,مروح
بسكوت هش,بسكوت هش
مراميه,مرام
بطلط,بطلط
ضوء,ضوء
جبن قليل,جبن قليل
فحم شوي,فحم شو
حليب طازج قليل,حليب طازج قليل
حليب قليل,حليب قليل
حليب صغير,حليب صغير
ماء صغير,ماء صغير
زبادي قليل,زباد قليل
زيادي,زياد
كمام,كمام
شبي,شب
لهاية,لها
وعاء,عاء
باوند,باوند
شفرة حلاقه,شفر حلاق
شفره حلاقه,شفر حلاق
شفرة حلاقة,شفر حلاق
علاق,علاق
جلكسي ساده,جلكس ساد
ذرة حب,ذر حب
ذره حب,ذر حب
عصا,عصا
اختبار,اختبار
الف بار,الف بار
كنزا,كنزا
سفر,سفر
موجي,موج
دجاج الصفاء,دجاج صفاء
ورق a4,ورق a4
عباية,عبا
عبايه,عبا
شامبو عباية,شامبو عبا
شامبو العباية,شامبو عبا
شامبو عبايه,شامبو عبا
شامبو عبايات,شامبو عبا
صابون عبايه,صاب عبا
عبايات,عبا
مياه ابراج,ميا ابراج
جبنة ابو الولد,جبن ابو ولد
ابو كاس,ابو كاس
رز ابو كاس,رز ابو كاس
ارز ابو كاس,ارز ابو كاس
ابو نجوم,ابو نجوم
ابوقوس,ابوقوس
abu siouf,abu siouf
حليب ابو,حليب ابو
تاكيد,تاكيد
طبق,طبق
رصيد,رصيد
استون,است
اسيتون,اسيت
حموضه,حموض
اكتيف,اكتيف
أكتيفيا,اكتيفيا
اكتيفيا,اكتيفيا
لبن اكتيفيا,لبن اكتيفيا
زبادي اكتيفيا,زباد اكتيفيا
مياه عذاري,ميا عذار
لاصق,لاصق
لاصقه,لاصق
لاصقة,لاصق
شريط لاصق,شريط لاصق
لاصقات,لاصق
سمون,سم
أدول,ادول
ادول,ادول
ادول شراب,ادول شراب
حفاضات للكبار,حفاض كبار
حفاضات كبار,حفاض كبار
مزايا,مزايا
ادفيل,ادفيل
جوي,جو
ايريوس,ايريوس
ايرو,ايرو
عافيه,عاف
اغاتي,اغات
عجوه,عجو
احمد,احمد
شاي أحمد,شا احمد
علج,علج
اير بار,اير بار
اير بار نكهة,اير بار نكه
اير بار عنب,اير بار عنب
معطر الجو,معطر جو
ايربار,ايربار
آيربار,ايربار
ايربار سيجارة,ايربار سيجار
ايربار سيجارة إلكترونية,ايربار سيجار كترون
ايربار عنب,ايربار عنب
اجاكس,اجاكس
اجباس,اجباس
عجوة,عجو
ماش اخضر,ماش اخضر
قرص عقيلي,قرص عقيل
عكاوي,عكاو
جبن عكاوي,جبن عكاو
جبنه عكاوي,جبن عكاو
جبنة عكاوي,جبن عكاو
دجاج العين,دجاج عين
عصير العين,عصير عين
مياه العين,ميا عين
زبادي العين,زباد عين
العلالي كيك,علال كيك
ورق عنب العلالي,ورق عنب علال
العلالي خليط,علال خليط
صلصة العلالي,صلص علال
العلالي صلصة,علال صلص
تونة العلالي,تون علال
بيتزا الفيصل,بيتزا فيصل
الجزيرة,جزير
عصير الروابي,عصير رواب
حليب الروابي,حليب رواب
الريان,ري
الرفاعي مكسرات,رفاع مكسر
مكسرات الرفاعي,مكسر رفاع
حليب الصافي,حليب صاف
حليب الصفوة,حليب صفو
العميد قهوة تركية,عميد قهو ترك
العويد,عويد
عسل العويد,عسل عويد
الفيصل,فيصل
قهوة الحموي,قهو حمو
الجنيدي,جنيد
شاي الكبوس,شا كبوس
شاي الكوزي,شا كوز
المنيس,منيس
شاي المنيس,شا منيس
القصيم,قصيم
الروضتين,روضت
الرفاعي,رفاع
الصيداوي,صيداو
العلالي,علال
كيك العلالي,كيك علال
كاتشب العلالي,كاتشب علال
قهوه الباتل,قهو باتل
قهوة الباتل,قهو باتل
كحول,كحول
الكحول,كحول
حلبي,حلب
حلب,حلب
الفاكورت,فاكورت
الفريدو,فريدو
طحالب,طحالب
شاي الغزالين,شا غزال
ام علي,ام عل
ali cafe,ali cafe
علي كافيه,عل كاف
علي كافية,عل كاف
اليكا,يكا
الكالايف,كالايف
الكازي,كاز
الكوزي,كوز
تمام,تمام
مبيد جميع الحشرات,مبيد حشر
طحين جميع الاستعمالات,طح استعمال
الحساسية,حساس
كريم حساسيه,كريم حساس
عصير تفاح المراعي,عصير تفاح مراع
عصير توت المراعي,عصير توت مراع
لبنة المراعي,لبن مراع
زبدة المراعي,زبد مراع
زبده المراعي,زبد مراع
المراعي جبنة,مراع جبن
جبنه المراعي,جبن مراع
جبن المراعي,جبن مراع
جبنة المراعي,جبن مراع
المراعي جبن,مراع جبن
حمص المراعي,حمص مراع
قشطه المراعي,قشط مراع
قشطة المراعي,قشط مراع
حليب مبخر المراعي,حليب مبخر مراع
حلوم المراعي,حلوم مراع
المراعي عصير,مراع عصير
عصير المراعي,عصير مراع
حليب المراعي قليل الدسم,حليب مراع قليل دسم
حليب مراعي,حليب مراع
المراعي لبن,مراع لبن
المراعي حليب,مراع حليب
لبنه المراعي,لبن مراع
